DIM_GEOGRAPHY_KEY,LATITUDE,LONGITUDE,ISO2_CODE,ISO3_CODE,COUNTRY,ADMIN_REGION,ISO_SUB_DIVISION,ADMIN_REGION_2,RECID
44.90316_-122.5842,44.90316,-122.5842,US,USA,United States,Oregon,US-OR,Marion County,4160
44.90374_-123.4128,44.90374,-123.4128,US,USA,United States,Oregon,US-OR,Polk County,4321
44.90585_-103.5081,44.90585,-103.5081,US,USA,United States,South Dakota,US-SD,Butte County,2598
44.93804_-98.34619,44.93804,-98.34619,US,USA,United States,South Dakota,US-SD,Spink County,4638
44.94328_-113.9333,44.94328,-113.9333,US,USA,United States,Idaho,US-ID,Lemhi County,5704
44.94657_-91.89636,44.94657,-91.89636,US,USA,United States,Wisconsin,US-WI,Dunn County,3528
42.2882_-86.35098,42.2882,-86.35098,US,USA,United States,Michigan,US-MI,Van Buren County,4370
42.29925_-79.40352,42.29925,-79.40352,US,USA,United States,New York,US-NY,Chautauqua County,4804
42.32308_-88.82337,42.32308,-88.82337,US,USA,United States,Illinois,US-IL,Boone County,4617
42.32436_-88.45243,42.32436,-88.45243,US,USA,United States,Illinois,US-IL,McHenry County,3850
42.32664_-87.68607,42.32664,-87.68607,US,USA,United States,Illinois,US-IL,Lake County,2666
42.33168_-83.048,42.33168,-83.048,US,USA,United States,Michigan,US-MI,Wayne County,5589
42.33626_-89.16085,42.33626,-89.16085,US,USA,United States,Illinois,US-IL,Winnebago County,4878
42.34007_-72.66377,42.34007,-72.66377,US,USA,United States,Massachusetts,US-MA,Hampshire County,3026
42.34304_-71.02085,42.34304,-71.02085,US,USA,United States,Massachusetts,US-MA,Suffolk County,2918
42.35143_-71.90774,42.35143,-71.90774,US,USA,United States,Massachusetts,US-MA,Worcester County,5068
42.35184_-89.66225,42.35184,-89.66225,US,USA,United States,Illinois,US-IL,Stephenson County,5686
42.35589_-114.6671,42.35589,-114.6671,US,USA,United States,Idaho,US-ID,Twin Falls County,4052
42.36551_-123.5555,42.36551,-123.5555,US,USA,United States,Oregon,US-OR,Josephine County,2977
42.36578_-90.2125,42.36578,-90.2125,US,USA,United States,Illinois,US-IL,Jo Daviess County,5161
42.37063_-73.20638,42.37063,-73.20638,US,USA,United States,Massachusetts,US-MA,Berkshire County,4960
42.38377_-93.70676,42.38377,-93.70676,US,USA,United States,Iowa,US-IA,Hamilton County,4301
42.38387_-93.24039,42.38387,-93.24039,US,USA,United States,Iowa,US-IA,Hardin County,3639
42.38516_-94.64041,42.38516,-94.64041,US,USA,United States,Iowa,US-IA,Calhoun County,4620
42.38627_-95.10537,42.38627,-95.10537,US,USA,United States,Iowa,US-IA,Sac County,2607
42.38692_-95.5135,42.38692,-95.5135,US,USA,United States,Iowa,US-IA,Ida County,4498
42.38969_-96.04469,42.38969,-96.04469,US,USA,United States,Iowa,US-IA,Woodbury County,2859
42.39096_-96.56452,42.39096,-96.56452,US,USA,United States,Nebraska,US-NE,Dakota County,4414
42.39375_-76.87514,42.39375,-76.87514,US,USA,United States,New York,US-NY,Schuyler County,3833
42.40186_-92.7914,42.40186,-92.7914,US,USA,United States,Iowa,US-IA,Grundy County,2746
42.42133_-99.4499,42.42133,-99.4499,US,USA,United States,Nebraska,US-NE,Rock County,3152
42.42795_-94.18173,42.42795,-94.18173,US,USA,United States,Iowa,US-IA,Webster County,3081
42.43002_-99.92949,42.43002,-99.92949,US,USA,United States,Nebraska,US-NE,Brown County,4561
42.43212_-122.7285,42.43212,-122.7285,US,USA,United States,Oregon,US-OR,Jackson County,4889
42.45199_-76.47365,42.45199,-76.47365,US,USA,United States,New York,US-NY,Tompkins County,5205
42.45571_-98.78382,42.45571,-98.78382,US,USA,United States,Nebraska,US-NE,Holt County,4340
42.45774_-124.1569,42.45774,-124.1569,US,USA,United States,Oregon,US-OR,Curry County,4574
42.46873_-90.88245,42.46873,-90.88245,US,USA,United States,Iowa,US-IA,Dubuque County,3825
42.47008_-92.3088,42.47008,-92.3088,US,USA,United States,Iowa,US-IA,Black Hawk County,3855
42.47077_-91.83782,42.47077,-91.83782,US,USA,United States,Iowa,US-IA,Buchanan County,2594
42.47122_-91.36734,42.47122,-91.36734,US,USA,United States,Iowa,US-IA,Delaware County,5125
42.4856_-71.39179,42.4856,-71.39179,US,USA,United States,Massachusetts,US-MA,Middlesex County,5320
42.48776_-103.7589,42.48776,-103.7589,US,USA,United States,Nebraska,US-NE,Sioux County,4741
42.49305_-96.86777,42.49305,-96.86777,US,USA,United States,Nebraska,US-NE,Dixon County,5118
42.49349_-75.61153,42.49349,-75.61153,US,USA,United States,New York,US-NY,Chenango County,4580
42.50486_-102.409,42.50486,-102.409,US,USA,United States,Nebraska,US-NE,Sheridan County,4256
42.5449_-101.1186,42.5449,-101.1186,US,USA,United States,Nebraska,US-NE,Cherry County,2601
41.75626_-89.91411,41.75626,-89.91411,US,USA,United States,Illinois,US-IL,Whiteside County,4294
41.75714_-71.08846,41.75714,-71.08846,US,USA,United States,Massachusetts,US-MA,Bristol County,4851
41.76496_-73.74294,41.76496,-73.74294,US,USA,United States,New York,US-NY,Dutchess County,2957
41.76589_-70.29734,41.76589,-70.29734,US,USA,United States,Massachusetts,US-MA,Barnstable County,3271
41.77204_-77.25426,41.77204,-77.25426,US,USA,United States,Pennsylvania,US-PA,Tioga County,4684
41.7723_-91.13239,41.7723,-91.13239,US,USA,United States,Iowa,US-IA,Cedar County,3125
41.78862_-76.51555,41.78862,-76.51555,US,USA,United States,Pennsylvania,US-PA,Bradford County,3503
41.79255_-73.24538,41.79255,-73.24538,US,USA,United States,Connecticut,US-CT,Litchfield County,2571
41.99653_-86.74254,41.99653,-86.74254,US,USA,United States,Michigan,US-MI,Berrien County,5354
40.18953_-80.24839,40.18953,-80.24839,US,USA,United States,Pennsylvania,US-PA,Washington County,3916
40.19053_-92.60075,40.19053,-92.60075,US,USA,United States,Missouri,US-MO,Adair County,2873
41.89804_-90.53197,41.89804,-90.53197,US,USA,United States,Iowa,US-IA,Clinton County,5258
42.58307_-72.59187,42.58307,-72.59187,US,USA,United States,Massachusetts,US-MA,Franklin County,5384
42.58821_-74.44214,42.58821,-74.44214,US,USA,United States,New York,US-NY,Schoharie County,2889
42.5915_-86.31903,42.5915,-86.31903,US,USA,United States,Michigan,US-MI,Allegan County,4609
42.595_-76.07024,42.595,-76.07024,US,USA,United States,New York,US-NY,Cortland County,5556
42.59502_-85.30898,42.59502,-85.30898,US,USA,United States,Michigan,US-MI,Barry County,5712
42.59607_-84.83832,42.59607,-84.83832,US,USA,United States,Michigan,US-MI,Eaton County,2651
42.59709_-84.37354,42.59709,-84.37354,US,USA,United States,Michigan,US-MI,Ingham County,4197
42.60014_-73.9736,42.60014,-73.9736,US,USA,United States,New York,US-NY,Albany County,3361
42.60021_-97.25275,42.60021,-97.25275,US,USA,United States,Nebraska,US-NE,Cedar County,4992
42.60292_-83.91152,42.60292,-83.91152,US,USA,United States,Michigan,US-MI,Livingston County,4433
42.63343_-77.10547,42.63343,-77.10547,US,USA,United States,New York,US-NY,Yates County,5511
